Address, City, State, ZIP, Backroom Stock, Floor Stock, In Transit Stock, Price, Aisles
8520 N Beach St, Fort Worth, TX, 76244, 0, 1, 0, 149.0, H28-2
355 Stonebrook Pkwy, Frisco, TX, 75036, 0, 30, 0, 149.0, H18-7, GM1-9
2801 E Interstate 20, Hudson Oaks, TX, 76087, 2, 15, 0, 149.0, H28-3
9101 N Tarrant Pkwy, North Richland Hills, TX, 76182, 0, 7, 0, 110.0, H28-200
1200 N Highway 77, Waxahachie, TX, 75165, 0, 6, 0, 149.0, H19-15
2108 Bedford Rd, Bedford, TX, 76021, 0, 0, 0, 149.0, N/A
735 W Sublett Rd, Arlington, TX, 76017, 0, 0, 0, N/A, N/A
1801 Marketplace Dr, Garland, TX, 75041, 8, 20, 0, 149.0, H27-200, H26-10
915 N Town East Blvd, Mesquite, TX, 75150, 0, 0, 0, 169.0, N/A
1900 W Moore Ave, Terrell, TX, 75160, 10, 5, 0, 149.0, H27-2
1601 W State Highway 114, Grapevine, TX, 76051, 0, 0, 0, 31.5, N/A
3959 Broadway Blvd, Garland, TX, 75043, 0, 0, 0, N/A, N/A
1501 Buckingham Rd, Richardson, TX, 75081, 0, 0, 0, N/A, N/A
800 S Highway 287, Decatur, TX, 76234, 0, 1, 0, 149.0, N/A
115 West Fm 544, Murphy, TX, 75094, 2, 11, 0, 149.0, H18-200, H25-17
6770 Westworth Blvd, Westworth Village, TX, 76114, 1, 1, 0, 149.0, N/A
200 Us Highway 80 E, Mesquite, TX, 75149, 8, 12, 0, 149.0, H28-24
4691 State Highway 121, Colony, TX, 75056, 0, 0, 0, 149.0, H30-2
2800 Flower Mound Rd, Flower Mound, TX, 75022, 0, 0, 0, 149.0, N/A
7401 Park Vista Blvd, Fort Worth, TX, 76137, 0, 0, 0, N/A, N/A
4801 S Cooper St, Arlington, TX, 76017, 0, 14, 0, 149.0, Z47-5, H33-6
7451 Mccart Ave, Fort Worth, TX, 76133, 0, 0, 0, 149.0, N/A
1515 Justin Rd, Lewisville, TX, 75077, 0, 0, 0, N/A, N/A
2900 Renaissance Square, Fort Worth, TX, 76105, 0, 0, 0, 149.0, N/A
1035 Hickory Creek Blvd, Hickory Creek, TX, 75065, 0, 0, 0, 149.0, N/A
4536 Heritage Trace Parkway, Fort Worth, TX, 76244, 0, 0, 0, 149.0, N/A
621 Uptown Blvd, Cedar Hill, TX, 75104, 0, 0, 0, 149.0, N/A
4800 Us 287 Highway, Arlington, TX, 76017, 0, 3, 0, 149.0, F19-16
8800 Lakeview Parkway, Rowlett, TX, 75088, 0, 0, 0, 169.0, N/A
1025 W Trinity Mills, Carrollton, TX, 75006, 0, 0, 0, N/A, N/A
4122 L B J Fwy, Dallas, TX, 75244, 0, 10, 0, 149.0, N/A
4851 S Cooper Street, Arlington, TX, 76017, 0, 0, 0, N/A, N/A
100 S Ryan Dr, Red Oak, TX, 75154, 0, 15, 0, 149.0, H25-200, H18-15
951 W Belt Line Rd, Desoto, TX, 75115, 0, 3, 0, 149.0, H40-4
2130 Rufe Snow Dr, Keller, TX, 76248, 0, 0, 0, N/A, N/A
2121 N Collins St, Arlington, TX, 76011, 0, 0, 0, N/A, N/A
4904 Colleyville Blvd, Colleyville, TX, 76034, 0, 0, 0, N/A, N/A
6364 Lake Worth Blvd, Lake Worth, TX, 76135, 0, 0, 0, N/A, N/A
1520 E Exchange Pkwy, Allen, TX, 75002, 0, 0, 0, N/A, N/A
1700 Dallas Pkwy, Plano, TX, 75093, 13, 10, 0, 149.0, H27-11
802 E Us Highway 80, Forney, TX, 75126, 0, 17, 0, 149.0, H11-100, H20-8
930 N Walnut Creek Dr Ste 800, Mansfield, TX, 76063, 5, -4, 0, 40.0, N/A
7800 Summer Creek Dr, Fort Worth, TX, 76123, 0, 0, 0, 168.0, N/A
700 E Ennis Ave, Ennis, TX, 75119, 0, 0, 0, 149.0, N/A
18121 Marsh Ln, Dallas, TX, 75287, 0, 0, 0, 149.0, N/A
820 E Belt Line Rd, Cedar Hill, TX, 75104, 0, 0, 0, N/A, N/A
16066 State Highway 121, Frisco, TX, 75035, 1, 12, 0, 149.0, H28-100, H26-10
8040 Independence Pkwy, Plano, TX, 75025, 0, 0, 0, 149.0, N/A
1836 S Main St, Weatherford, TX, 76086, 0, 11, 0, 149.0, H26-2
2041 N Redbud Blvd, Mckinney, TX, 75069, 11, 9, 0, 149.0, F20-9, F1-100
730 W Exchange Pkwy, Allen, TX, 75013, 0, 23, 0, 149.0, H17-100, BK21-1, H28-2
13100 Josey Ln, Farmers Branch, TX, 75234, 0, 0, 0, 169.0, N/A
8555 Preston Rd, Frisco, TX, 75034, 0, 0, 0, 105.0, H11-100
494 W Interstate 30, Royse City, TX, 75189, 0, 0, 0, 100.0, N/A
6750 Murphy Road, Sachse, TX, 75048, 0, 0, 0, N/A, N/A
2305 N Central Expy, Dallas, TX, 75204, 0, 0, 0, 149.0, N/A
1732 Precinct Line Rd, Hurst, TX, 76054, 3, 16, 0, 149.0, H18-2, H10-200
6565 Headquarters Dr, Plano, TX, 75024, 0, 0, 0, N/A, N/A
401 Coke Ave, Hillsboro, TX, 76645, 0, 10, 0, 149.0, B32-100, B31-1
6360 Lake Worth Blvd, Lake Worth, TX, 76135, 11, 9, 0, 149.0, H28-19
8801 Ohio Dr, Plano, TX, 75024, 0, 0, 0, 149.0, N/A
801 W Main St, Lewisville, TX, 75067, 0, 13, 0, 149.0, H28-200, H29-2
3400 Virginia Pkwy, Mckinney, TX, 75071, 0, 0, 0, N/A, N/A
721 Boyd Rd, Azle, TX, 76020, 1, 23, 0, 149.0, H23-16, GM1-1
6000 Coit Rd, Plano, TX, 75023, 0, 0, 0, 149.0, N/A
1635 Market Place Blvd, Irving, TX, 75063, 0, 1, 0, 149.0, H24-200
300 Kings Fort Pkwy, Kaufman, TX, 75142, 0, 14, 0, 149.0, H13-100, H16-1
2245 Jacksboro Hwy, Fort Worth, TX, 76114, 0, 1, 0, 149.0, H23-12
5401 Park Springs Blvd, Arlington, TX, 76017, 0, 0, 0, N/A, N/A
1855 S Garland Ave, Garland, TX, 75040, 0, 0, 0, N/A, N/A
5302 N Garland Ave, Garland, TX, 75040, 14, 16, 0, 149.0, H16-200, H28-16
3513 E Park Blvd, Plano, TX, 75074, 0, 0, 0, 149.0, N/A
2610 W Pioneer Pkwy, Pantego, TX, 76013, 0, 0, 0, N/A, N/A
4025 Old Denton Rd, Carrollton, TX, 75007, 0, 0, 0, N/A, N/A
190 E Round Grove Rd, Lewisville, TX, 75067, 0, 1, 0, 149.0, N/A
951 Sw Wilshire Blvd, Burleson, TX, 76028, 2, 8, 0, 149.0, H28-1
1515 S Loop 288, Denton, TX, 76205, 0, 11, 0, 149.0, H29-100
2501 Lakeview Pkwy, Rowlett, TX, 75088, 12, 4, 0, 149.0, H20-8
555 W Interstate 30, Garland, TX, 75043, 2, 5, 0, 149.0, H21-16
400 N Highway 67, Midlothian, TX, 76065, 0, 0, 0, 149.0, N/A
1228 N Highway 377, Roanoke, TX, 76262, 4, 27, 0, 149.0, H27-2
2401 Avondale Haslet Rd, Fort Worth, TX, 76052, 0, 0, 0, 149.0, N/A
1616 W Henderson St, Cleburne, TX, 76033, 9, 7, 0, 149.0, H22-16
6604 Boulevard 26, Richland Hills, TX, 76180, 0, 0, 0, N/A, N/A
9410 Webb Chapel Rd, Dallas, TX, 75220, 0, 2, 0, 149.0, N/A
